Input Memory,Output Memory,Input Datatype,Num Tiles,Actual Duration [ns],Estimated Duration [ns]
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,772,851.4599202154944
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,768,851.4599202154944
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,761,851.4599202154944
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,773,851.4599202154944
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,770,851.4599202154944
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,766,851.4599202154944
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,763,851.4599202154944
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,765,851.4599202154944
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,776,851.4599202154944
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,1,765,851.4599202154944
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5623,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1823,1821.9588461931958
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5624,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1769,1821.9588461931958
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5618,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1775,1821.9588461931958
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5617,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1766,1821.9588461931958
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5618,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1765,1821.9588461931958
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5627,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1781,1821.9588461931958
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5618,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1778,1821.9588461931958
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5629,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1775,1821.9588461931958
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5622,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1766,1821.9588461931958
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5635,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,4,1765,1821.9588461931958
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21143,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5711,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3137,3115.9574141634644
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21147,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5659,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3124,3115.9574141634644
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21151,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5646,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3118,3115.9574141634644
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21142,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5656,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3125,3115.9574141634644
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21146,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5641,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3113,3115.9574141634644
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21150,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5654,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3115,3115.9574141634644
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21154,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5655,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3109,3115.9574141634644
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21152,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5650,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3129,3115.9574141634644
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21140,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5656,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3119,3115.9574141634644
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21153,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,16,5643,5703.954550104002
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,8,3126,3115.9574141634644
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83263,83343.86862832012
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41931,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,11036,10879.948821985075
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83259,83343.86862832012
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41919,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,10965,10879.948821985075
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83265,83343.86862832012
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41924,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,10963,10879.948821985075
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83271,83343.86862832012
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41927,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,10957,10879.948821985075
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83264,83343.86862832012
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41931,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,10954,10879.948821985075
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83260,83343.86862832012
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41919,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,10950,10879.948821985075
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83269,83343.86862832012
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41926,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,10968,10879.948821985075
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83272,83343.86862832012
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41924,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,10964,10879.948821985075
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83266,83343.86862832012
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41920,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,10966,10879.948821985075
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,256,83267,83343.86862832012
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41926,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,32,10952,10879.948821985075
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,42002,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21388,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41998,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21307,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,42007,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21325,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,42016,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21299,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,42015,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21330,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,41994,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21303,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,42012,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21308,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,42006,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21308,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,42010,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21318,21231.937365747224
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,128,42018,41935.91445327152
L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,BFLOAT16,64,21304,21231.937365747224
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,772,851.1729278188934
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,763,851.1729278188934
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,773,851.1729278188934
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,773,851.1729278188934
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,769,851.1729278188934
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,763,851.1729278188934
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,771,851.1729278188934
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,757,851.1729278188934
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,764,851.1729278188934
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,1,770,851.1729278188934
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5622,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1843,1821.4700330730789
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5626,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1769,1821.4700330730789
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5626,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1771,1821.4700330730789
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5629,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1758,1821.4700330730789
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5617,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1763,1821.4700330730789
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5630,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1775,1821.4700330730789
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5630,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1765,1821.4700330730789
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5627,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1784,1821.4700330730789
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5626,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1764,1821.4700330730789
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5625,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,4,1768,1821.4700330730789
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21147,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5710,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3139,3115.199506745326
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21148,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5655,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3104,3115.199506745326
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21148,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5645,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3130,3115.199506745326
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21153,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5678,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3126,3115.199506745326
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21148,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5656,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3127,3115.199506745326
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21142,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5649,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3118,3115.199506745326
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21154,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5653,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3113,3115.199506745326
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21146,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5648,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3115,3115.199506745326
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21153,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5644,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3114,3115.199506745326
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21145,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,16,5656,5702.65845408982
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,8,3110,3115.199506745326
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83269,83326.42687442465
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41931,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,11049,10877.57634877881
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83280,83326.42687442465
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41922,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,10978,10877.57634877881
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83264,83326.42687442465
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41921,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,10958,10877.57634877881
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83278,83326.42687442465
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41916,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,10975,10877.57634877881
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83263,83326.42687442465
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41918,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,10947,10877.57634877881
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83258,83326.42687442465
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41943,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,10949,10877.57634877881
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83271,83326.42687442465
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41932,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,10964,10877.57634877881
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83263,83326.42687442465
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41918,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,10964,10877.57634877881
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83272,83326.42687442465
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41930,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,10964,10877.57634877881
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,256,83259,83326.42687442465
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41922,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,32,10970,10877.57634877881
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42010,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21372,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42008,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21311,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42005,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21305,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,41997,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21310,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42004,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21313,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42007,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21305,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42015,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21312,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42017,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21314,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42002,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21324,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42007,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21315,21227.412138156786
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,772,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,762,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,777,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,770,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,763,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,770,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,783,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,772,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,770,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,775,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5622,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1824,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1912,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,932,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5625,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1778,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1823,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,869,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5625,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1773,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1816,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,867,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5619,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1770,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1816,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,877,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5616,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1769,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1805,1869.3739939235732
